name,adress,phone,mail,website_url,inventory
Villager Nursery,"10678 Donner Pass Rd, Truckee, CA 96161",(530) 587-0771,,http://villagernursery.com,
Our City Forest Nursery,"1000 Spring St. San Jose, CA 95110",(408) 785-2302,treenursery@ourcityforest.org,http://www.ourcityforest.org/nursery/#community-nursery,"['Coffeeberry', 'Valley Oak', 'Big Saltbush', 'Common Yarrow', 'Coastal Bush Lupine', 'Deergrass', 'Molate Creeping Red Fescue', 'Common Rush', 'Coyote Bush', 'California Buckeye', 'Sunset Manzanita', 'Blue-eyed Grass', 'Malva Rosa', 'Paradise Pajaro Manzanita', 'Prostrate Coyote Brush', 'Soap Plant', 'Saltmarsh Baccharis', 'Silver Lupine', 'Island Snapdragon', 'Coyote Mint', 'Purple Sage', 'Western Sycamore', 'Blue Elderberry', 'Margarita Penstemon', 'Dr. Hurd Manzanita', 'Toyon', 'Mugwort', 'Bush Monkey Flower', 'Red Flowering Currant', 'Fremont Cottonwood', 'Oregon False Goldenaster', 'Yerba Buena', 'Oregon Gumweed', 'California Sunflower', 'Ray Hartman Ceanothus', 'Seaside Daisy', 'Torrey Pine', 'Coast Silktassel', 'California Sagebrush', 'California Buckwheat', 'Hummingbird Sage', 'California Fuchsia', 'Rock Phacelia']"
Escondido Nursery,"5401 E. Jahant Rd. Galt, CA 95632",(209) 200-9905,escondidonursery@gmail.com,http://www.escondidonursery.com,
Neel's Nursery,"466 N. Coast Hwy 101 Encinitas, CA 92024",,torrey@neelsnursery.com,https://neelsnursery.com/,"['San Clemente Island Brodiaea', 'Narrow Leaf Milkweed', 'Common Yarrow', ""Nuttall's Snapdragon"", 'Franciscan Manzanita', 'Spice Bush', 'Deer Plant', 'Broom Baccharis', 'Chaparral Whitethorn', 'Mulefat', ""Silver Bird's-foot Trefoil"", 'Lester Rowntree Manzanita', 'Coyote Bush', 'Pigeon Point Coyote Brush', 'Sunset Manzanita', 'Big Berry Manzanita', 'San Diego Sagewort', 'Skeleton Milkweed', 'Howard McMinn Manzanita', 'San Diego Ceanothus', 'Withered Snapdragon', 'Rainbow Manzanita', ""Weed's Mariposa Lily"", 'Threadleaf Brodiaea', 'San Diego County Viguiera', 'Wild Marigold', 'Otay Manzanita', 'Prostrate Chamise', 'Santa Catalina Island Manzanita', 'Woollyleaf Ceanothus', 'Hairy Ceanothus', ""Nevin's Barberry"", 'Woollypod Milkweed', 'Hoaryleaf Ceanothus', 'Coastal Agave', 'Quailbush', 'Santa Barbara Milk Vetch', 'Western False Indigo', 'Showy Milkweed', 'Ray Hartman Ceanothus', 'Bush Anemone', 'Red Sand Verbena', 'Chamise', 'Nicolas Chamise', 'Western Columbine', 'Del Mar Manzanita', 'Common Goldenstar', 'South Coast Blue Mountain Lilac', 'Texas Paintbrush', 'Pacific Mist Manzanita', 'California Copperleaf', ""Palmer's Indian Mallow"", 'Montara Sagebrush', 'California Sagebrush', 'Encinitas Baccharis', 'Splendid Mariposa Lily', 'Big Sagebrush', 'Blue Grama', 'Red Shanks']"
Walker Avenue Nursery,"4164 Walker Ave Santa Rosa, CA 95407",(707) 585-7865,orders@walkeravenuenursery.com,http://www.WalkerAvenueNursery.com,"['Western Dogwood', 'Alkali Bulrush', 'Narrow Leaf Milkweed', 'Common Yarrow', 'Spice Bush', 'Indianhemp Dogbane', 'Scouring Rush Horsetail', 'Stream Orchid', 'Hornwort', 'Common Horsetail', 'California Buttonbush', 'Woodland Strawberry', 'Annual Tule', 'Yerba Mansa', 'California Buckeye', 'Western Goldenrod', 'Sneezeweed', 'Indian Rhubarb', 'Floating Marsh Pennywort', 'Box Elder', 'Saltmarsh Baccharis', ""Bigelow's Sneezeweed"", 'Slough Sedge', ""Dudley's Sedge"", 'Mugwort', 'Water Plantain', 'Douglas Iris', 'Common Sneezeweed', 'Oregon Gumweed', 'Sand Spikerush', 'Foothill Sedge', 'Red Alder', 'Common Mares Tail', 'Showy Milkweed', 'Giant Horsetail', 'Seep Monkey Flower', 'Scarlet Monkeyflower', 'Valley Sedge', 'Hairy-fruited Hibiscus', 'Central Coast Iris', 'Water Sedge', 'Torrent Sedge', 'Whorled Marsh Pennywort']"
CNL Native Plant Nursery,"254 Shoreline Hwy, Mill Valley Mill Valley, CA 94941",(415) 888-8471,california_native_landscapes@yahoo.com,https://cnlnatives.com/,"['Anchor Bay Bearberry Manzanita', 'Black Butte Yarrow', 'Narrow Leaf Milkweed', 'Big Saltbush', 'Common Yarrow', 'Carmel Sur Little Sur Manzanita', 'Spice Bush', 'Elizabeth Bush Anemone', 'Mulefat', 'Morning Glory', ""Wight's Indian Paint Brush"", 'Emerald Carpet Manzanita', 'Joyce Coulter Mountain Lilac', 'Yerba Mansa', 'Coyote Bush', 'Western Serviceberry', 'California Buckeye', ""David's Choice Sagebrush"", 'Common Ladyfern', 'Leafy Reed Grass', ""Heart' Desire Mountain Lilac"", 'Thrift Seapink', 'Howard McMinn Manzanita', 'Paradise Pajaro Manzanita', 'John Dourley Manzanita', 'Pacific Reedgrass', 'Concha Ceanothus', 'Wild Ginger', 'Canyon Gray Sagebrush', 'Dr. Hurd Manzanita', 'Tall Oregon Grape', 'Carmel Creeper Ceanothus', 'Dark Star Ceanothus', 'Vine Maple', 'Mugwort', 'Skylark Mountain Lilac', 'Deer Fern', 'Point Reyes Bearberry Manzanita', 'Dune Sagewort', 'Big Leaf Maple', ""Elk's Clover"", 'Beach Primrose', 'Foothill Sedge', 'White Alder', 'Julia Phelps Mountain Lilac', 'Showy Milkweed', 'Dutchmans Pipe', 'Ray Hartman Ceanothus', ""Louis Edmunds Baker's Manzanita"", 'Bush Anemone', 'Western Columbine', 'Radiant Bearberry Manzanita', 'Pacific Mist Manzanita', 'Coyote Brush', ""Palmer's Indian Mallow"", 'Dwarf Mahonia', 'California Sagebrush', 'Island Pink Yarrow', 'Pearly Everlasting', 'Blue Grama']"
Mariposa Native Plants,"5274 Yosemite Oaks Road Mariposa, CA 95338",(209) 742-1540,mariposanativeplants@gmail.com,http://www.mariposanativeplants.com,"['Canyon Dudleya', 'Coffeeberry', 'Narrow Leaf Milkweed', 'Common Manzanita', 'Sulphur Buckwheat', 'Common Yarrow', 'Spice Bush', 'Heart Leaf Milkweed', 'Blue Dicks', 'Mulefat', 'Whiteleaf Manzanita', 'Rubber Rabbitbrush', 'Indian Manzanita', 'Coyote Bush', 'Horsetail', 'California Buckeye', 'Common Ladyfern', 'Western Goldenrod', ""St. Catherine's Lace"", 'Deerbrush', 'Buckbrush', 'Kinnikinnick', 'Idaho Fescue', 'California Milkweed', 'One Leaf Onion', 'Tall Oregon Grape', 'California Hazel', 'Mugwort', 'Bush Monkey Flower', 'California Yerba Santa', 'Woollypod Milkweed', 'Sticky Cinquefoil', 'Western Redbud', 'Bastardsage', 'Incense Cedar', 'Big Leaf Maple', 'Desert Willow', 'Foothill Sedge', 'California Poppy', 'White Alder', 'Clustered Field Sedge', 'Showy Milkweed', 'Dutchmans Pipe', 'Bush Anemone', 'Pinemat', 'Common Woolly Sunflower', 'Western Columbine', 'Blueblossom Ceanothus', 'Dwarf Mahonia', 'Woolly Milkweed', 'Bleeding Heart', 'Pacific Dogwood', 'California Sagebrush', 'Valley Sedge', 'California Buckwheat', 'California Fuchsia', 'Big Sagebrush', 'Mountain Mahogany', 'Red Bush Monkeyflower', 'Greenleaf Manzanita']"
Jug Handle Creek Farm and Nature Center,"15501 North Highway 1 Caspar, CA 95420",(707) 937-5201,garaway58@gmail.com,http://www.jughandlecreekfarm.com/,"['Red Osier Dogwood', 'California Bent Grass', 'Common Yarrow', 'Lady Fern', 'Scouring Rush Horsetail', 'Coastal Wood Fern', 'Common Horsetail', 'California Oatgrass', 'Tall Flatsedge', 'California Buckeye', ""Olney's Hairy Sedge"", 'Leafy Reed Grass', 'Fuzzy Sedge', 'Box Elder', 'Saltmarsh Baccharis', 'Pacific Reedgrass', 'Blue Bead Lily', 'Bluff Lettuce', 'California Aster', 'Western Larkspur', 'Wild Ginger', 'Swamp Harebell', 'One Leaf Onion', 'Maritime Brome', 'Shorter Scaled Sedge', 'Mugwort', 'Bush Monkey Flower', 'Coastal Mugwort', ""Harford's Sedge"", 'Sticky Cinquefoil', 'California Sedge', 'Blue Wildrye', 'Dune Sagewort', 'Yerba Buena', 'Big Leaf Maple', ""Elk's Clover"", 'Red Alder', 'Tufted Hair Grass', ""Bolander's Reedgrass"", 'Dutchmans Pipe', 'California Sea Pink', 'Purple Western Morning Glory', 'Coast Onion', 'Western Columbine', 'Five Finger Fern', 'California Hairgrass', 'Coast Angelica', 'California Vanilla Grass', 'Coyote Brush', 'Coastal Bluff Morning-glory', 'Rooreh', 'Pearly Everlasting', 'California Fuchsia', 'Grand Fir', 'Kinnikinnick']"
Walter Andersen Nursery Poway,"12755 Danielson Court Poway, California 92064",(858) 513-4900,christopherw@walterandersen.com,https://www.walterandersen.com/,
Friends of Sausal Creek Native Plant Nursery,"Sanborn Dr, Oakland, CA 94602",(510) 325-9006,info@sausalcreek.org,https://www.sausalcreek.org/native-plant-sale-2024,
